,2015,2015_lower, 2015_upper, 2015,2015_lower, 2015_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2016,2016_lower, 2016_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2017,2017_lower, 2017_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2018,2018_lower, 2018_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper, 2019,2019_lower, 2019_upper, 2019,2019_lower, 2019_upper, 2020,2020_lower, 2020_upper, 2020,2020_lower, 2020_upper, 2020,2020_lower, 2020_upper
States,Percent of people living with HIV who know their status,Percent of people living with HIV who know their status_lower, Percent of people living with HIV who know their status_upper, Percent of people who know their status who are on ART,Percent of people who know their status who are on ART_lower, Percent of people who know their status who are on ART_upper, Percent of people on ART who achieve viral suppression,Percent of people on ART who achieve viral suppression_lower, Percent of people on ART who achieve viral suppression_upper, Percent of people living with HIV who know their status,Percent of people living with HIV who know their status_lower, Percent of people living with HIV who know their status_upper, Percent of people who know their status who are on ART,Percent of people who know their status who are on ART_lower, Percent of people who know their status who are on ART_upper, Percent of people on ART who achieve viral suppression,Percent of people on ART who achieve viral suppression_lower, Percent of people on ART who achieve viral suppression_upper, Percent of people living with HIV who know their status,Percent of people living with HIV who know their status_lower, Percent of people living with HIV who know their status_upper, Percent of people who know their status who are on ART,Percent of people who know their status who are on ART_lower, Percent of people who know their status who are on ART_upper, Percent of people on ART who achieve viral suppression,Percent of people on ART who achieve viral suppression_lower, Percent of people on ART who achieve viral suppression_upper, Percent of people living with HIV who know their status,Percent of people living with HIV who know their status_lower, Percent of people living with HIV who know their status_upper, Percent of people who know their status who are on ART,Percent of people who know their status who are on ART_lower, Percent of people who know their status who are on ART_upper, Percent of people on ART who achieve viral suppression,Percent of people on ART who achieve viral suppression_lower, Percent of people on ART who achieve viral suppression_upper, Percent of people living with HIV who know their status,Percent of people living with HIV who know their status_lower, Percent of people living with HIV who know their status_upper, Percent of people who know their status who are on ART,Percent of people who know their status who are on ART_lower, Percent of people who know their status who are on ART_upper, Percent of people on ART who achieve viral suppression,Percent of people on ART who achieve viral suppression_lower, Percent of people on ART who achieve viral suppression_upper, Percent of people living with HIV who know their status,Percent of people living with HIV who know their status_lower, Percent of people living with HIV who know their status_upper, Percent of people who know their status who are on ART,Percent of people who know their status who are on ART_lower, Percent of people who know their status who are on ART_upper, Percent of people on ART who achieve viral suppression,Percent of people on ART who achieve viral suppression_lower, Percent of people on ART who achieve viral suppression_upper
Central,87 ,77 , >98,70 ,62 , 81,87 ,77 , >98,89 ,79 , >98,93 ,83 , >98,89 ,79 , >98,91 ,80 , >98,81 ,71 , 95,90 ,79 , >98,92 ,81 , >98,87 ,76 , >98,91 ,80 , >98,93 ,81 , >98,90 ,79 , >98,93 ,82 , >98,94 ,81 , >98,95 ,83 , >98,95 ,83 , >98
Coast,89 ,78 , >98,72 ,63 , 81,,,,90 ,79 , >98,66 ,58 , 74,,,,90 ,79 , >98,81 ,71 , 92,,,,91 ,80 , >98,79 ,70 , 90,,,,92 ,81 , >98,88 ,77 , >98,89 ,78 , >98,93 ,81 , >98,91 ,80 , >98,93 ,81 , >98
Eastern,88 ,76 , >98,73 ,64 , 85,,,,89 ,77 , >98,75 ,65 , 87,,,,90 ,77 , >98,83 ,72 , 98,,,,90 ,78 , >98,82 ,71 , 97,,,,91 ,78 , >98,86 ,74 , >98,90 ,77 , >98,92 ,78 , >98,90 ,77 , >98,94 ,80 , >98
Nairobi,88 ,75 , >98,95 ,80 , >98,,,,>98 ,84 , >98,>98 ,84 , >98,,,,97 ,82 , >98,>98 ,84 , >98,,,,97 ,82 , >98,>98 ,84 , >98,,,,>98 ,86 , >98,>98 ,84 , >98,93 ,78 , >98,>98 ,88 , >98,>98 ,84 , >98,94 ,79 , >98
North Eastern,73 ,50 , >98,31 ,21 , 51,,,,74 ,51 , >98,62 ,43 , >98,,,,76 ,52 , >98,63 ,44 , >98,,,,77 ,54 , >98,62 ,44 , >98,,,,79 ,56 , >98,76 ,54 , >98,... ,... , ...,83 ,59 , >98,>98 ,70 , >98,... ,... , ...
Nyanza,>98 ,95 , >98,76 ,69 , 88,,,,>98 ,96 , >98,81 ,73 , 94,,,,>98 ,95 , >98,92 ,82 , >98,,,,>98 ,95 , >98,86 ,76 , >98,,,,>98 ,94 , >98,89 ,79 , >98,95 ,83 , >98,>98 ,94 , >98,94 ,83 , >98,96 ,84 , >98
Rift Valley,89 ,79 , >98,56 ,50 , 64,,,,91 ,81 , >98,68 ,60 , 78,,,,92 ,81 , >98,70 ,62 , 82,,,,91 ,80 , >98,68 ,60 , 78,,,,91 ,80 , >98,72 ,63 , 83,90 ,79 , >98,91 ,80 , >98,76 ,66 , 89,93 ,81 , >98
Western,91 ,79 , >98,89 ,78 , >98,,,,93 ,81 , >98,98 ,86 , >98,,,,94 ,82 , >98,97 ,85 , >98,,,,95 ,82 , >98,97 ,85 , >98,,,,96 ,84 , >98,>98 ,87 , >98,93 ,80 , >98,>98 ,88 , >98,>98 ,87 , >98,95 ,82 , >98
National,94 ,81,>98,74 ,64,87,... ,...,...,97 ,84,>98,82 ,71,96,... ,...,...,97 ,84,>98,87 ,75,>98,... ,...,...,97 ,84,>98,84 ,73,>98,... ,...,...,>98 ,85,>98,88 ,76,>98,92 ,80,>98,>98 ,86,>98,92 ,79,>98,94 ,82,>98
