,2015,2015_lower, 2015_upper, 2015,2015_lower, 2015_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2016,2016_lower, 2016_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2017,2017_lower, 2017_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2018,2018_lower, 2018_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper, 2019,2019_lower, 2019_upper, 2019,2019_lower, 2019_upper, 2020,2020_lower, 2020_upper, 2020,2020_lower, 2020_upper, 2020,2020_lower, 2020_upper
States,Percent of people living with HIV who know their status,Percent of people living with HIV who know their status_lower, Percent of people living with HIV who know their status_upper, Percent of people who know their status who are on ART,Percent of people who know their status who are on ART_lower, Percent of people who know their status who are on ART_upper, Percent of people on ART who achieve viral suppression,Percent of people on ART who achieve viral suppression_lower, Percent of people on ART who achieve viral suppression_upper, Percent of people living with HIV who know their status,Percent of people living with HIV who know their status_lower, Percent of people living with HIV who know their status_upper, Percent of people who know their status who are on ART,Percent of people who know their status who are on ART_lower, Percent of people who know their status who are on ART_upper, Percent of people on ART who achieve viral suppression,Percent of people on ART who achieve viral suppression_lower, Percent of people on ART who achieve viral suppression_upper, Percent of people living with HIV who know their status,Percent of people living with HIV who know their status_lower, Percent of people living with HIV who know their status_upper, Percent of people who know their status who are on ART,Percent of people who know their status who are on ART_lower, Percent of people who know their status who are on ART_upper, Percent of people on ART who achieve viral suppression,Percent of people on ART who achieve viral suppression_lower, Percent of people on ART who achieve viral suppression_upper, Percent of people living with HIV who know their status,Percent of people living with HIV who know their status_lower, Percent of people living with HIV who know their status_upper, Percent of people who know their status who are on ART,Percent of people who know their status who are on ART_lower, Percent of people who know their status who are on ART_upper, Percent of people on ART who achieve viral suppression,Percent of people on ART who achieve viral suppression_lower, Percent of people on ART who achieve viral suppression_upper, Percent of people living with HIV who know their status,Percent of people living with HIV who know their status_lower, Percent of people living with HIV who know their status_upper, Percent of people who know their status who are on ART,Percent of people who know their status who are on ART_lower, Percent of people who know their status who are on ART_upper, Percent of people on ART who achieve viral suppression,Percent of people on ART who achieve viral suppression_lower, Percent of people on ART who achieve viral suppression_upper, Percent of people living with HIV who know their status,Percent of people living with HIV who know their status_lower, Percent of people living with HIV who know their status_upper, Percent of people who know their status who are on ART,Percent of people who know their status who are on ART_lower, Percent of people who know their status who are on ART_upper, Percent of people on ART who achieve viral suppression,Percent of people on ART who achieve viral suppression_lower, Percent of people on ART who achieve viral suppression_upper
Central,81 ,71 , 93,69 ,61 , 80,87 ,77 , >98,85 ,75 , 98,90 ,79 , >98,89 ,78 , >98,87 ,76 , >98,79 ,70 , 92,89 ,79 , >98,88 ,77 , >98,85 ,75 , >98,90 ,79 , >98,89 ,78 , >98,90 ,78 , >98,95 ,83 , >98,90 ,79 , >98,94 ,82 , >98,94 ,82 , >98
Coast,82 ,72 , 93,72 ,63 , 82,,,,83 ,73 , 94,67 ,59 , 76,,,,85 ,75 , 97,81 ,72 , 92,,,,86 ,76 , 97,81 ,71 , 91,,,,88 ,77 , >98,86 ,76 , 96,88 ,78 , >98,89 ,79 , >98,90 ,79 , >98,92 ,81 , >98
Eastern,82 ,71 , 94,74 ,65 , 86,,,,84 ,73 , 97,76 ,66 , 87,,,,86 ,75 , >98,84 ,72 , 97,,,,87 ,75 , >98,83 ,72 , 97,,,,88 ,76 , >98,87 ,75 , >98,89 ,77 , >98,90 ,77 , >98,91 ,78 , >98,93 ,80 , >98
Nairobi,87 ,75 , >98,92 ,79 , >98,,,,96 ,83 , >98,>98 ,85 , >98,,,,96 ,82 , >98,97 ,83 , >98,,,,96 ,82 , >98,97 ,82 , >98,,,,>98 ,85 , >98,>98 ,84 , >98,93 ,79 , >98,>98 ,86 , >98,>98 ,84 , >98,94 ,79 , >98
North Eastern,55 ,37 , 91,31 ,21 , 52,,,,58 ,39 , 96,62 ,42 , >98,,,,61 ,42 , >98,63 ,43 , >98,,,,63 ,44 , >98,64 ,45 , >98,,,,66 ,46 , >98,75 ,52 , >98,... ,... , ...,71 ,50 , >98,>98 ,70 , >98,... ,... , ...
Nyanza,97 ,88 , >98,72 ,66 , 83,,,,>98 ,91 , >98,77 ,70 , 89,,,,>98 ,93 , >98,87 ,79 , >98,,,,>98 ,93 , >98,82 ,74 , 96,,,,>98 ,92 , >98,87 ,77 , >98,94 ,84 , >98,>98 ,93 , >98,91 ,81 , >98,95 ,85 , >98
Rift Valley,83 ,73 , 94,57 ,51 , 65,,,,85 ,75 , 97,65 ,58 , 74,,,,87 ,76 , >98,68 ,60 , 78,,,,87 ,76 , >98,65 ,57 , 76,,,,87 ,76 , >98,69 ,61 , 80,89 ,78 , >98,87 ,77 , >98,74 ,65 , 86,92 ,81 , >98
Western,86 ,75 , >98,81 ,71 , 96,,,,89 ,78 , >98,89 ,78 , >98,,,,92 ,80 , >98,91 ,79 , >98,,,,92 ,80 , >98,89 ,77 , >98,,,,93 ,81 , >98,92 ,81 , >98,92 ,80 , >98,97 ,84 , >98,94 ,82 , >98,94 ,82 , >98
National,88 ,77,>98,72 ,63,85,... ,...,...,91 ,80,>98,78 ,69,92,... ,...,...,93 ,82,>98,84 ,73,>98,... ,...,...,94 ,82,>98,82 ,71,96,... ,...,...,95 ,83,>98,86 ,75,>98,92 ,81,>98,96 ,84,>98,89 ,78,>98,94 ,82,>98
