"","x"
"1",3446900.01772843
"2",3227626.81232607
"3",2958756.66312026
"4",2646283.72300653
"5",2321192.1531268
"6",2003052.7052143
"7",1698257.61574743
"8",1411708.04112297
"9",1153552.53011067
"10",885670.091843789
"11",659089.75229451
"12",468711.696580197
"13",306182.711897506
"14",212320.647607355
"15",133355.856236362
"16",73044.6387650527
"17",52580.3859214021
"18",3479302.22636727
"19",3263587.79899439
"20",2996127.5426523
"21",2691471.70008792
"22",2370973.0922019
"23",2050344.33534482
"24",1744296.3688064
"25",1459686.39665636
"26",1200237.00711633
"27",941456.735139836
"28",717504.730980711
"29",535930.775116895
"30",367422.633037052
"31",266195.366220408
"32",175973.927212718
"33",100999.731321909
"34",68071.5505267239
"35",10187.0166004829
"36",3152.68313871257
"37",907.29879968509
"38",4876.16840150892
"39",7315.9620460322
"40",6893.48133984003
"41",5565.55016554164
"42",4846.76925321509
"43",4447.26512060685
"44",3507.36256205468
"45",1173.24840354021
"46",475.10901081832
"47",212.527743258596
"48",108.025049078381
"49",52.1347946039361
"50",22.5275527639841
"51",10.3494567990741
"52",14571.5312312603
"53",6139.20270609678
"54",2397.671147331
"55",5690.48614171492
"56",10523.2615202824
"57",10977.4787146067
"58",9116.48507722944
"59",7577.24469814842
"60",6539.9305974598
"61",5214.50493105512
"62",2046.8819601991
"63",919.445810593132
"64",461.51338049794
"65",277.188449427459
"66",165.024800963175
"67",88.4697021601533
"68",53.7495787610741
"69",7461.85283344639
"70",7079.35249586736
"71",5768.33377768153
"72",8303.72701998851
"73",12190.169593846
"74",14207.0872345244
"75",15341.8339839933
"76",15935.1661933316
"77",15906.0345136607
"78",14108.8776841787
"79",8701.20888154778
"80",5110.91037592798
"81",2734.73062779561
"82",1489.10174385076
"83",729.300988654311
"84",313.936257433927
"85",161.070869782381
"86",9251.95535853775
"87",10013.8729981643
"88",8418.85536670749
"89",10583.0403516285
"90",16449.4932863661
"91",19972.4261548144
"92",21877.6473184761
"93",22437.8864074171
"94",21774.7272824704
"95",19194.580302707
"96",11365.0233495829
"97",6490.77600023352
"98",3410.81528081573
"99",1842.08452490027
"100",922.205229397271
"101",414.296513444224
"102",211.534074245307
"103",20132.8709644764
"104",27043.4839747124
"105",25644.4981636167
"106",31847.7070330555
"107",45618.8009506845
"108",56853.7758301603
"109",64918.9505073993
"110",69513.6089368649
"111",70368.0780872041
"112",63223.8017043302
"113",43718.9964189251
"114",26877.9869937426
"115",14657.2466218054
"116",8048.79353509663
"117",3954.90148213558
"118",1704.41092845157
"119",876.864964884527
"120",12855.9283426194
"121",18368.6833064822
"122",17799.5428580822
"123",20867.0436191831
"124",31071.2418796049
"125",39932.8738047051
"126",46200.3888863504
"127",49147.7769683185
"128",48649.418171504
"129",43440.1638439411
"130",29096.1914153357
"131",17656.0543050006
"132",9541.68955312727
"133",5204.77547473953
"134",2599.92735615502
"135",1157.76560820157
"136",582.785617305645
