"","prevalence.2025","prevalence.2040","engagement.2025","engagement.2040","incidence.2025","incidence.2040","annual.engagement.2025","annual.engagement.2040","prevalence.2025","prevalence.2040","engagement.2025","engagement.2040","incidence.2025","incidence.2040","annual.engagement.2025","annual.engagement.2040"
"no.int","39 [38-40]","43 [39-46]","40 [39-42]","44 [41-47]","24 [22-30]","26 [24-34]","35 [32-38]","38 [33-44]","26% [23-29]","34% [26-43]","28% [25-31]","36% [28-44]","33% [20-50]","40% [24-62]","63% [57-69]","70% [59-79]"
"all.intermediate","39 [38-41]","45 [43-48]","40 [39-41]","45 [43-48]","24 [23-30]","29 [26-36]","35 [32-38]","43 [39-46]","26% [23-29]","39% [32-47]","28% [25-30]","40% [32-47]","34% [20-51]","48% [31-70]","63% [56-68]","79% [73-84]"
"engagement.retention","39 [38-41]","44 [41-48]","40 [39-41]","45 [42-48]","24 [22-29]","27 [24-34]","35 [32-38]","40 [36-45]","26% [23-29]","37% [30-45]","28% [24-30]","38% [30-46]","33% [20-50]","41% [25-64]","64% [57-69]","74% [64-81]"
"retention.suppression","39 [38-40]","43 [40-47]","40 [39-42]","44 [41-47]","24 [22-30]","26 [24-34]","35 [32-38]","38 [33-44]","26% [23-29]","35% [27-43]","28% [25-31]","36% [28-45]","33% [20-50]","40% [24-62]","63% [57-69]","70% [60-79]"
"testing.engagement","39 [38-41]","46 [43-49]","40 [39-41]","46 [44-49]","25 [23-30]","30 [26-37]","35 [32-37]","44 [40-47]","26% [23-29]","41% [34-48]","27% [24-30]","41% [34-48]","34% [20-51]","52% [34-71]","62% [55-67]","81% [76-85]"
"all.max","39 [38-41]","46 [44-49]","40 [39-41]","46 [44-49]","25 [23-30]","30 [26-37]","35 [32-37]","44 [41-47]","26% [23-29]","41% [34-48]","27% [24-30]","41% [34-48]","34% [20-51]","52% [34-71]","62% [55-67]","82% [77-86]"
"no.int","38 [37-40]","41 [38-45]","39 [38-41]","42 [39-45]","22 [19-24]","23 [20-31]","33 [30-36]","36 [31-42]","25% [22-28]","31% [22-39]","27% [23-30]","32% [24-40]","25% [15-42]","31% [18-54]","57% [50-65]","64% [53-76]"
"all.intermediate","38 [37-40]","44 [41-47]","39 [38-41]","44 [42-47]","22 [19-24]","25 [23-33]","33 [29-36]","42 [38-45]","25% [22-28]","36% [28-44]","26% [23-29]","36% [29-44]","25% [15-42]","38% [22-60]","57% [50-64]","77% [70-82]"
"engagement.retention","38 [37-40]","43 [40-46]","39 [38-40]","43 [40-46]","22 [19-24]","23 [20-31]","33 [29-36]","38 [34-43]","25% [22-28]","33% [26-42]","26% [23-29]","34% [26-42]","24% [15-41]","31% [18-54]","57% [50-65]","70% [59-78]"
"retention.suppression","38 [37-40]","42 [38-45]","39 [38-41]","42 [39-46]","22 [19-24]","23 [20-31]","33 [30-36]","36 [31-42]","25% [22-28]","31% [23-40]","27% [23-30]","32% [24-41]","25% [15-42]","31% [18-54]","57% [50-65]","65% [53-76]"
"testing.engagement","38 [37-40]","45 [42-47]","39 [38-40]","45 [42-47]","22 [19-24]","25 [23-34]","32 [29-36]","43 [40-46]","25% [22-28]","38% [30-45]","26% [23-29]","38% [30-45]","25% [15-42]","39% [24-61]","56% [49-64]","80% [75-84]"
"all.max","38 [37-40]","45 [42-48]","39 [38-40]","45 [43-48]","22 [19-24]","26 [23-34]","32 [29-36]","43 [41-46]","25% [22-28]","38% [30-45]","26% [23-29]","38% [31-45]","25% [15-42]","40% [25-62]","56% [49-64]","81% [76-85]"
"no.int","41 [39-42]","45 [42-49]","42 [41-43]","47 [44-50]","29 [26-34]","31 [27-36]","38 [36-40]","41 [37-46]","28% [24-31]","40% [32-48]","31% [27-34]","43% [35-50]","46% [28-64]","54% [33-73]","72% [67-76]","78% [69-85]"
"all.intermediate","41 [39-42]","47 [44-50]","42 [40-43]","47 [45-50]","29 [26-34]","32 [28-38]","37 [35-40]","44 [40-48]","28% [24-31]","44% [36-51]","30% [26-33]","44% [37-52]","46% [28-64]","58% [39-77]","70% [64-75]","81% [75-86]"
"engagement.retention","41 [39-42]","47 [44-50]","42 [40-43]","47 [44-50]","29 [26-34]","31 [27-37]","38 [35-40]","43 [38-47]","28% [24-31]","43% [35-51]","30% [26-33]","44% [37-52]","46% [28-64]","55% [36-75]","72% [66-76]","80% [72-86]"
"retention.suppression","41 [39-42]","46 [42-49]","42 [41-43]","47 [44-50]","29 [26-34]","31 [27-36]","38 [36-40]","42 [37-47]","28% [24-31]","41% [32-49]","31% [27-34]","43% [36-51]","46% [28-64]","54% [33-73]","72% [67-76]","78% [70-85]"
"testing.engagement","41 [39-42]","48 [45-50]","42 [40-43]","48 [45-50]","29 [26-34]","33 [28-38]","37 [34-39]","45 [41-48]","28% [25-31]","45% [38-52]","30% [26-33]","45% [39-52]","46% [28-64]","60% [41-77]","68% [62-73]","82% [77-87]"
"all.max","41 [39-42]","48 [45-50]","42 [40-43]","48 [45-51]","29 [26-34]","33 [28-38]","37 [34-39]","45 [42-48]","28% [25-31]","46% [39-52]","30% [26-33]","46% [39-53]","46% [28-64]","60% [41-77]","68% [62-73]","83% [78-87]"
